ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
717200;DEFAULT;4;4;Accelerate;MaxClimb;T_00B;;1165.9;250.0;
717200;DEFAULT;4;5;Climb;MaxClimb;T_00B;5000.0;;;
717200;DEFAULT;4;6;Climb;MaxClimb;T_00B;7500.0;;;
717200;DEFAULT;4;7;Climb;MaxClimb;T_00B;10000.0;;;
717200;DEFAULT;5;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;DEFAULT;5;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;DEFAULT;5;3;Climb;MaxClimb;T_13A;3000.0;;;
717200;DEFAULT;5;4;Accelerate;MaxClimb;T_00B;;1142.6;250.0;
717200;DEFAULT;5;5;Climb;MaxClimb;T_00B;5000.0;;;
717200;DEFAULT;5;6;Climb;MaxClimb;T_00B;7500.0;;;
717200;DEFAULT;5;7;Climb;MaxClimb;T_00B;10000.0;;;
717200;DEFAULT;6;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;DEFAULT;6;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;DEFAULT;6;3;Climb;MaxClimb;T_13A;3000.0;;;
717200;DEFAULT;6;4;Accelerate;MaxClimb;T_00B;;1098.3;250.0;
717200;DEFAULT;6;5;Climb;MaxClimb;T_00B;5000.0;;;
717200;DEFAULT;6;6;Climb;MaxClimb;T_00B;7500.0;;;
717200;DEFAULT;6;7;Climb;MaxClimb;T_00B;10000.0;;;
717200;ICAO_B;1;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;ICAO_B;1;2;Climb;MaxTakeoff;T_13A;1100.0;;;
717200;ICAO_B;1;3;Accelerate;MaxTakeoff;T_13A;;2137.1;186.2;
717200;ICAO_B;1;4;Climb;MaxClimb;T_00B;3000.0;;;
717200;ICAO_B;1;5;Accelerate;MaxClimb;T_00B;;1000.0;250.0;
717200;ICAO_B;1;6;Climb;MaxClimb;T_00B;5500.0;;;
717200;ICAO_B;1;7;Climb;MaxClimb;T_00B;7500.0;;;
717200;ICAO_B;1;8;Climb;MaxClimb;T_00B;10000.0;;;
717200;ICAO_B;2;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;ICAO_B;2;2;Climb;MaxTakeoff;T_13A;1000.0;;;
