ACFT_ID;Op Type;Profile_ID;Stage Length;Point Number;Distance (ft);Altitude AFE (ft);TAS (kt);Power Setting
727200;D;DEFAULT;1;1;0;0;35.0;11895.0
727200;D;DEFAULT;1;2;5968.0;0;153.0;11895.0
727200;D;DEFAULT;1;3;13346.0;1000.0;153.0;11895.0
727200;D;DEFAULT;1;4;34849.0;2886.0;210.0;11895.0
727200;D;DEFAULT;1;5;35849.0;3011.0;210.0;10712.0
727200;D;DEFAULT;1;6;50495.0;3893.0;250.0;10712.0
727200;D;DEFAULT;1;7;66155.0;5511.0;250.0;10712.0
727200;D;DEFAULT;1;8;87813.0;7511.0;250.0;10712.0
727200;D;DEFAULT;1;9;119224.0;10011.0;250.0;10712.0
727200;D;DEFAULT;2;1;0;0;35.0;11895.0
727200;D;DEFAULT;2;2;6863.0;0;157.0;11895.0
727200;D;DEFAULT;2;3;15215.0;1000.0;157.0;11895.0
727200;D;DEFAULT;2;4;35663.0;2501.0;210.0;11895.0
727200;D;DEFAULT;2;5;36663.0;2613.0;210.0;10712.0
727200;D;DEFAULT;2;6;40124.0;3000.0;210.0;10712.0
727200;D;DEFAULT;2;7;55648.0;3801.0;250.0;10712.0
727200;D;DEFAULT;2;8;74053.0;5500.0;250.0;10712.0
727200;D;DEFAULT;2;9;98482.0;7500.0;250.0;10712.0
727200;D;DEFAULT;2;10;134190.0;10000.0;250.0;10712.0
727200;D;DEFAULT;3;1;0;0;35.0;11895.0
727200;D;DEFAULT;3;2;7821.0;0;162.0;11895.0
727200;D;DEFAULT;3;3;17257.0;1000.0;162.0;11895.0
727200;D;DEFAULT;3;4;38791.0;2395.0;210.0;11895.0
727200;D;DEFAULT;3;5;39791.0;2495.0;210.0;10712.0
727200;D;DEFAULT;3;6;44869.0;3000.0;210.0;10712.0
727200;D;DEFAULT;3;7;62604.0;3838.0;250.0;10712.0
727200;D;DEFAULT;3;8;82774.0;5500.0;250.0;10712.0
727200;D;DEFAULT;3;9;110265.0;7500.0;250.0;10712.0
727200;D;DEFAULT;3;10;150808.0;10000.0;250.0;10712.0
727200;D;DEFAULT;4;1;0;0;35.0;11895.0
727200;D;DEFAULT;4;2;8841.0;0;166.0;11895.0
727200;D;DEFAULT;4;3;19481.0;1000.0;166.0;11895.0
727200;D;DEFAULT;4;4;41927.0;2296.0;210.0;11895.0
727200;D;DEFAULT;4;5;42927.0;2386.0;210.0;10712.0
727200;D;DEFAULT;4;6;49824.0;3000.0;210.0;10712.0
727200;D;DEFAULT;4;7;69803.0;3858.0;250.0;10712.0
727200;D;DEFAULT;4;8;92071.0;5500.0;250.0;10712.0
727200;D;DEFAULT;4;9;122969.0;7500.0;250.0;10712.0
727200;D;DEFAULT;4;10;168992.0;10000.0;250.0;10712.0
PA31;A;DEFAULT;1;1;-114486.8;6000.0;189.2;2400.0
PA31;A;DEFAULT;1;2;-28621.7;1500.0;165.6;2400.0
PA31;A;DEFAULT;1;3;-19081.1;1000.0;149.2;2350.0
PA31;A;DEFAULT;1;4;-9540.6;500.0;133.0;2350.0
PA31;A;DEFAULT;1;5;0;0;95.1;2350.0
PA31;A;DEFAULT;1;6;71.1;0;95.0;2350.0
PA31;A;DEFAULT;1;7;711.0;0;10.0;1000.0
PA31;D;DEFAULT;1;1;0;0;32.0;2500.0
PA31;D;DEFAULT;1;2;1750.0;0;85.0;2500.0
PA31;D;DEFAULT;1;3;2800.0;50.0;95.1;2500.0
PA31;D;DEFAULT;1;4;5438.5;182.2;111.3;2500.0
PA31;D;DEFAULT;1;5;18228.3;1500.0;113.5;2400.0
PA31;D;DEFAULT;1;6;36456.7;3000.0;116.0;2400.0
PA31;D;DEFAULT;1;7;60761.2;5500.0;120.5;2400.0
PA31;D;DEFAULT;1;8;97217.8;7500.0;124.2;2400.0
PA31;D;DEFAULT;1;9;136712.6;10000.0;129.2;2400.0
