ACFT_ID;Description;Engine Type;Number Of Engines;Weight Class;Owner Category;Max Gross Takeoff Weight (lb);Max Gross Landing Weight (lb);Max Landing Distance (ft);Max Sea Level Static Thrust (lb);Noise Chapter;NPD_ID;Power Parameter;Approach Spectral Class ID;Departure Spectral Class ID;Lateral Directivity Identifier
EMB120;Embraer 120 ER / Pratt & Whitney PW118;Turboprop;2;Large;Commercial;26433;25794;5571;4000;3;EPW118;CNT (lb);213;109;Prop
EMB145;Embraer 145 ER / Allison AE3007;Jet;2;Large;Commercial;45420;41230;4232;7500;3;AE3007;CNT (lb);216;113;Fuselage
EMB14L;Embraer 145 LR / Allison AE3007A1;Jet;2;Large;Commercial;48500;42550;4232;7500;3;AE3007;CNT (lb);216;113;Fuselage
EMB170;Embraer ERJ170-100;Jet;2;Large;Commercial;82012;72312;4029;13800;3;CF348E;CNT (lb);216;113;Wing
EMB175;Embraer ERJ170-200;Jet;2;Large;Commercial;85517;74957;4130;13800;3;CF348E;CNT (lb);216;113;Wing
EMB190;Embraer ERJ190-100;Jet;2;Large;Commercial;114199;97003;4081;18500;3;CF3410E;CNT (lb);205;105;Wing
EMB195;Embraer ERJ190-200;Jet;2;Large;Commercial;115280;100972;4183;18500;3;CF3410E;CNT (lb);205;105;Wing
F10062;Fokker 100 / TAY 620-15;Jet;2;Large;Commercial;95000;85500;4560;13900;3;TAY620;CNT (lb);201;101;Fuselage
F10065;Fokker 100 / TAY 650-15;Jet;2;Large;Commercial;98000;88000;4704;15100;3;TAY650;CNT (lb);201;101;Fuselage
F28MK2;Fokker F-28-2000 / RB183MK555;Jet;2;Large;Commercial;65000;59000;3540;9850;2;RB183;CNT (lb);216;104;Fuselage
F28MK4;Fokker F-28-4000 / RB183MK555;Jet;2;Large;Commercial;73000;64000;3546;9900;2;RB183P;CNT (lb);216;104;Fuselage
FAL20;Dassault FALCON 20 / CF700-2D-2;Jet;2;Large;General Aviation;28700;27300;2490;4500;2;CF700;CNT (lb);203;113;Fuselage
GII;Gulfstream GII / SPEY 511-8;Jet;2;Large;General Aviation;64800;58500;3200;11400;2;SPEYHK;CNT (lb);216;104;Fuselage
GIIB;Gulfstream GIIB / GIII - SPEY 511-8;Jet;2;Large;General Aviation;69700;58500;3250;11400;2;SPEYHK;CNT (lb);216;104;Fuselage
GIV;Gulfstream GIV-SP / TAY 611-8;Jet;2;Large;General Aviation;74600;66000;3190;13850;3;TAYGIV;CNT (lb);203;113;Fuselage
GV;Gulfstream GV / BR 710;Jet;2;Large;General Aviation;90500;75300;2760;14750;3;BR710;CNT (lb);205;105;Fuselage
HS748A;Hawker Siddeley HS-748 / DART MK532-2;Turboprop;2;Large;Commercial;46500;43000;3360;5150;2;RDA532;CNT (% of Max Static Thrust);212;110;Prop
IA1125;IAI-1125 ASTRA / TFE731-3A;Jet;2;Large;General Aviation;23500;20700;3689;3700;3;TF7313;CNT (lb);216;113;Fuselage
L1011;Lockheed Martin L-1011 / RB211-22B;Jet;3;Heavy;Commercial;430000;358000;5693;42000;3;RB2112;CNT (lb);203;101;Wing
L10115;Lockheed Martin L-1011-500 / RB211-224B;Jet;3;Heavy;Commercial;510000;368000;6800;50000;3;RB2112;CNT (lb);203;101;Wing
L188;Lockheed L-188C / ALL 501-D13;Turboprop;4;Large;Commercial;116000;98100;4960;8000;0;T56A7;CNT (% of Max Static Thrust);214;112;Prop
LEAR25;Learjet 25 / CJ610-8;Jet;2;Large;General Aviation;15000;13500;2620;2950;2;CJ610;CNT (lb);202;113;Fuselage
LEAR35;Learjet 36 / TFE731-2;Jet;2;Large;General Aviation;18300;15300;3076;3500;3;TF7312;CNT (lb);216;113;Fuselage
MD11GE;McDonnell Douglas MD-11 / CF6-80C2D1F;Jet;3;Heavy;Commercial;682400;433300;5131;61500;3;2CF68D;CNT (lb);203;103;Wing
MD11PW;McDonnell Douglas MD-11 / PW 4460;Jet;3;Heavy;Commercial;682400;433300;4681;60000;3;PW4460;CNT (lb);203;103;Wing
MD81;McDonnell Douglas MD-81 / JT8D-209;Jet;2;Large;Commercial;140000;128000;4860;19300;3;2JT8D2;CNT (lb);204;104;Fuselage
MD82;McDonnell Douglas MD-82 / JT8D-217A;Jet;2;Large;Commercial;149500;130000;4920;20900;3;2JT8D2;CNT (lb);204;104;Fuselage
MD83;McDonnell Douglas MD-83 / JT8D-219;Jet;2;Large;Commercial;160000;139500;5200;21700;3;2JT8D2;CNT (lb);204;104;Fuselage
MD9025;McDonnell Douglas MD-90 / V2525-D5;Jet;2;Large;Commercial;156000;142000;3000;25000;3;V2525;CNT (lb);205;105;Fuselage
MD9028;McDonnell Douglas MD-90 / V2528-D5;Jet;2;Large;Commercial;156000;142000;3000;28000;3;V2525;CNT (lb);205;105;Fuselage
MU3001;Mitsubishi MU300-10 Diamond II / JT15D-5;Jet;2;Large;General Aviation;14100;13200;2800;2500;3;JT15D5;CNT (lb);203;113;Fuselage
PA28;Piper Warrior PA-28-161 / O-320-D3G;Piston;1;Small;General Aviation;2325;2325;1695;400;0;O320D3;Other (RPM);213;113;Prop
PA30;Piper Twin Comanche PA-30 / IO-320-B1A;Piston;2;Small;General Aviation;3600;3600;1654;777;0;IO320B;CNT (lb);213;113;Prop
PA31;Piper Navajo Chieftain PA-31-350 / TIO-5;Piston;2;Small;General Aviation;7000;7000;1850;1481;0;TIO542;Other (RPM);213;109;Prop
PA42;Piper PA-42 / PT6A-41;Turboprop;2;Small;General Aviation;11200;10330;3300;1800;3;PT6A41;CNT (lb);213;109;Prop
SABR80;NA Sabreliner 80;Jet;2;Large;General Aviation;33720;27290;2490;3962;2;CF700;CNT (lb);203;113;Fuselage
SD330;Short SD3-30 / PT6A-45AR;Turboprop;2;Large;Commercial;22900;22600;3650;2670;3;PT6A45;CNT (% of Max Static Thrust);211;109;Prop
SF340;Saab SF340B / CT7-9B;Turboprop;2;Large;Commercial;27300;26500;3470;4067;3;CT75;CNT (% of Max Static Thrust);211;110;Prop
