ACFT_ID;Op Type;Flap_ID;B;C;D;R
DC3;A;ZERO;;;;0.111500
DC3;D;TO;0.019837;0.619256;;0.123784
DC3;D;ZERO;;;;0.111500
DC6;A;D-INTR;;;;0.101990
DC6;A;D-L;;;0.294594;0.125979
DC6;A;TO;;;;0.082040
DC6;A;ZERO;;;;0.078000
DC6;D;TO;0.007829;0.430006;;0.082040
DC6;D;ZERO;;;;0.078000
DC850;A;D-35;;;0.328558;0.129965
DC850;A;D-50;;;0.313281;0.149354
DC850;A;INT;;;;0.074401
DC850;A;U-35;;;;0.126751
DC850;A;U-50;;;;0.145337
DC850;A;ZERO;;;;0.058535
DC850;D;15;0.005206;0.323443;;0.090417
DC850;D;25;0.004708;0.315832;;0.103092
DC850;D;INT;;;;0.074401
DC850;D;ZERO;;;;0.058535
DC860;A;D-35;;;0.312879;0.117758
DC860;A;D-50;;;0.304526;0.130913
DC860;A;INT;;;;0.071703
DC860;A;U-35;;;;0.115049
DC860;A;U-50;;;;0.127660
DC860;A;ZERO;;;;0.053190
DC860;D;12;0.004899;0.320082;;0.090214
DC860;D;23;0.004572;0.304797;;0.095953
DC860;D;INT;;;;0.071703
DC860;D;ZERO;;;;0.053190
DC870;A;D-35;;;0.312879;0.117758
DC870;A;D-50;;;0.304526;0.130913
DC870;A;INT;;;;0.071703
DC870;A;U-35;;;;0.115049
DC870;A;U-50;;;;0.127660
DC870;A;ZERO;;;;0.053190
DC870;D;12;0.004899;0.320082;;0.090214
DC870;D;23;0.004572;0.304797;;0.095953
DC870;D;INT;;;;0.071703
DC870;D;ZERO;;;;0.053190
DC8QN;A;D-35;;;0.312879;0.117758
DC8QN;A;D-50;;;0.304526;0.130913
DC8QN;A;INT;;;;0.071703
DC8QN;A;U-35;;;;0.115049
DC8QN;A;U-50;;;;0.127660
DC8QN;A;ZERO;;;;0.053190
DC8QN;D;12;0.004899;0.320082;;0.090214
DC8QN;D;23;0.004572;0.304797;;0.095953
DC8QN;D;INT;;;;0.071703
DC8QN;D;ZERO;;;;0.053190
DC910;A;5;;;;0.077570
DC910;A;D-35;;;0.480101;0.134177
DC910;A;D-50;;;0.445486;0.157948
DC910;A;U-15;;;;0.087963
DC910;A;U-35;;;;0.130625
DC910;A;U-50;;;;0.153365
DC910;A;ZERO;;;;0.075935
DC910;D;15;0.010618;0.477234;;0.087963
DC910;D;5;0.012996;0.495570;;0.077570
DC910;D;INT;;;;0.076753
DC910;D;ZERO;;;;0.075935
DC930;A;5;;;;0.084985
DC930;A;D-35;;;0.470211;0.135075
DC930;A;D-50;;;0.438965;0.165052
DC930;A;U-15;;;;0.092489
DC930;A;U-35;;;;0.131559
DC930;A;U-50;;;;0.155925
DC930;A;ZERO;;;;0.068416
DC930;D;15;0.010507;0.471774;;0.092489
DC930;D;5;0.012098;0.489900;;0.084985
DC930;D;INT;;;;0.076701
DC930;D;ZERO;;;;0.068416
DC93LW;A;5;;;;0.084985
DC93LW;A;D-35;;;0.470211;0.135075
DC93LW;A;D-50;;;0.438965;0.165052
DC93LW;A;U-15;;;;0.092489
DC93LW;A;U-35;;;;0.131559
DC93LW;A;U-50;;;;0.155925
DC93LW;A;ZERO;;;;0.068416
DC93LW;D;15;0.010507;0.471774;;0.092489
DC93LW;D;5;0.012098;0.489900;;0.084985
DC93LW;D;INT;;;;0.076701
DC93LW;D;ZERO;;;;0.068416
DC950;A;5;;;;0.084985
DC950;A;D-35;;;0.468147;0.135234
DC950;A;D-50;;;0.442406;0.160018
DC950;A;U-15;;;;0.092489
DC950;A;U-35;;;;0.131677
DC950;A;U-50;;;;0.155399
DC950;A;ZERO;;;;0.068416
DC950;D;15;0.010507;0.471774;;0.092489
DC950;D;5;0.012098;0.489900;;0.084985
DC950;D;INTR;;;;0.076701
DC950;D;ZERO;;;;0.068416
DC95HW;A;5;;;;0.084985
DC95HW;A;D-35;;;0.468147;0.135234
DC95HW;A;D-50;;;0.442406;0.160018
DC95HW;A;U-15;;;;0.092489
DC95HW;A;U-35;;;;0.131677
DC95HW;A;U-50;;;;0.155399
DC95HW;A;ZERO;;;;0.068416
DC95HW;D;15;0.010507;0.471774;;0.092489
DC95HW;D;5;0.012098;0.489900;;0.084985
DC95HW;D;INTR;;;;0.076701
DC95HW;D;ZERO;;;;0.068416
DC9Q7;A;5;;;;0.077570
DC9Q7;A;D-35;;;0.480101;0.134177
DC9Q7;A;D-50;;;0.445486;0.157948
DC9Q7;A;U-15;;;;0.087963
DC9Q7;A;U-35;;;;0.130625
DC9Q7;A;U-50;;;;0.153365
DC9Q7;A;ZERO;;;;0.075935
DC9Q7;D;15;0.010618;0.477234;;0.087963
DC9Q7;D;5;0.012996;0.495570;;0.077570
DC9Q7;D;INT;;;;0.076753
DC9Q7;D;ZERO;;;;0.075935
DC9Q9;A;5;;;;0.084985
DC9Q9;A;D-35;;;0.470211;0.135075
DC9Q9;A;D-50;;;0.438965;0.165052
DC9Q9;A;U-15;;;;0.092489
DC9Q9;A;U-35;;;;0.131559
DC9Q9;A;U-50;;;;0.155925
DC9Q9;A;ZERO;;;;0.068416
DC9Q9;D;15;0.010507;0.471774;;0.092489
DC9Q9;D;5;0.012098;0.489900;;0.084985
DC9Q9;D;INT;;;;0.076701
DC9Q9;D;ZERO;;;;0.068416
DHC6;A;D-INTR;;;;0.125975
DHC6;A;D-L;;;0.577068;0.176949
DHC6;A;INTR;;;;0.090222
DHC6;A;ZERO;;;;0.075000
DHC6;D;INTR;;;;0.090222
DHC6;D;TO;0.031032;0.787095;;0.105443
DHC6;D;ZERO;;;;0.075000
DHC6QP;A;D-INTR;;;;0.125975
DHC6QP;A;D-L;;;0.577068;0.176949
DHC6QP;A;INTR;;;;0.090222
DHC6QP;A;ZERO;;;;0.075000
DHC6QP;D;INTR;;;;0.090222
DHC6QP;D;TO;0.031032;0.787095;;0.105443
DHC6QP;D;ZERO;;;;0.075000
DHC7;A;10;;;;0.117133
DHC7;A;D-25;;;0.513530;0.127688
DHC7;A;D-INTR;;;;0.117133
DHC7;A;ZERO;;;;0.075000
DHC7;D;10;;;;0.117133
DHC7;D;25;0.009556;0.466702;;0.159266
DHC7;D;ZERO;;;;0.075000
DHC8;A;5;;;;0.078080
DHC8;A;D-15;;;0.549690;0.092335
DHC8;A;D-35;;;0.509610;0.100860
DHC8;A;D-5;;;0.601230;0.087745
DHC8;A;U-15;;;;0.080204
DHC8;A;U-5;;;;0.073647
DHC8;A;ZERO;;;;0.072424
DHC8;D;15;0.017361;0.566680;;0.085190
DHC8;D;5;0.017289;0.613420;;0.078080
DHC8;D;ZERO;;;;0.072424
DHC830;A;10;;;;0.076309
DHC830;A;D-10;;;0.629860;0.091024
DHC830;A;D-15;;;0.601230;0.094958
DHC830;A;D-35;;;0.555420;0.103483
DHC830;A;U-10;;;;0.079221
DHC830;A;U-15;;;;0.084139
DHC830;A;ZERO;;;;0.068308
DHC830;D;10;0.015165;0.570532;;0.076309
DHC830;D;15;0.014403;0.549595;;0.080292
DHC830;D;5;0.017836;0.617640;;0.070652
DHC830;D;INT;0.019987;0.659514;;0.067572
DHC830;D;ZERO;;;;0.068308
DO228;A;F30APP;;;0.758850;0.119110
DO228;A;ZERO-A;;;;0.107170
DO228;D;FLAPS1;0.021960;0.804010;;0.090420
DO228;D;ZERO;0.027450;0.863880;;0.107170
DO228;D;ZERO-C;;;;0.144590
DO228;D;ZERO-T;;;;0.092180
DO328;A;F32APP;;;0.638000;0.096100
DO328;A;ZERO-A;;;;0.091600
DO328;D;F12-D;0.016000;0.666000;;0.066400
DO328;D;ZERO;;;;0.091600
DO328;D;ZERO-C;;;;0.120600
ECLIPSE500;A;A_A_DN;;;1.273746;0.133462
ECLIPSE500;A;A_T_DN;;;;0.178304
ECLIPSE500;D;TO_DN;0.100203;1.381422;;0.105314
ECLIPSE500;D;TO_UP;;1.381422;;0.086185
ECLIPSE500;D;UP_DN;;1.690947;;0.103009
ECLIPSE500;D;UP_UP;;1.690947;;0.073313
EMB120;A;15;;;;0.101400
EMB120;A;D-25;;;0.837000;0.080100
EMB120;A;D-45;;;0.782000;0.130500
EMB120;A;ZERO;;;;0.083400
EMB120;D;15;0.029700;0.820000;;0.101400
EMB120;D;ZERO;;0.929000;;0.083400
EMB145;A;D-22;;;0.683600;0.129100
EMB145;A;D-45;;;0.681100;0.180900
EMB145;A;ZERO;;;;0.069100
EMB145;D;9;;0.650300;;0.082500
EMB145;D;9-GEAR;0.021800;0.656200;;0.104800
EMB145;D;ZERO;;;;0.069100
EMB14L;A;D-22;;;0.683600;0.129100
EMB14L;A;D-45;;;0.681100;0.180900
EMB14L;A;ZERO;;;;0.069400
EMB14L;D;9;;0.650300;;0.083000
EMB14L;D;9-GEAR;0.021200;0.656200;;0.083000
EMB14L;D;ZERO;;;;0.069400
EMB170;A;FULL;;;0.498900;0.145550
EMB170;D;1;0.015720;0.579870;;0.076830
EMB170;D;ZERO;;;;0.066180
EMB175;A;FULL;;;0.498200;0.145800
EMB175;D;1;0.015900;0.578990;;0.077300
EMB175;D;ZERO;;;;0.066000
EMB190;A;FULL;;;0.434400;0.137100
EMB190;D;1;0.012300;0.494610;;0.082600
EMB190;D;ZERO;;;;0.066400
EMB195;A;FULL;;;0.433600;0.137400
EMB195;D;1;0.012200;0.494520;;0.083100
EMB195;D;ZERO;;;;0.067400
F10062;A;D-42;;;0.473100;0.156500
F10062;A;INT2;;;;0.090400
F10062;A;TO;;;;0.068300
F10062;A;U-INT;;;;0.112400
F10062;D;INT2;;;;0.090400
F10062;D;TO;0.012200;0.516200;;0.068300
F10062;D;ZERO;;;;0.068300
F10065;A;D-42;;;0.473100;0.156500
F10065;A;INT2;;;;0.091100
F10065;A;TO;;;;0.069300
F10065;A;U-INT;;;;0.112900
F10065;D;INT2;;;;0.091100
F10065;D;TO;0.012300;0.521000;;0.069300
F10065;D;ZERO;;;;0.069300
F28MK2;A;D-42;;;0.533400;0.167700
F28MK2;A;INT2;;;;0.103300
F28MK2;A;U-INTR;;;;0.124800
F28MK2;A;ZERO;;;;0.081900
F28MK2;D;6;0.017100;0.602700;;0.079300
F28MK2;D;INT2;;;;0.103300
F28MK2;D;ZERO;;;;0.081900
F28MK4;A;D-42;;;0.514900;0.161900
F28MK4;A;INT2;;;;0.097100
F28MK4;A;U-INTR;;;;0.118700
F28MK4;A;ZERO;;;;0.075500
F28MK4;D;6;0.015150;0.573100;;0.074900
F28MK4;D;INT2;;;;0.097100
F28MK4;D;ZERO;;;;0.075500
FAL20;A;D-25;;;0.804634;0.117238
FAL20;A;D-40;;;0.792624;0.136348
FAL20;A;INTR;;;;0.084391
FAL20;A;ZERO;;;;0.070000
FAL20;D;10;0.035696;0.807797;;0.098781
FAL20;D;INTR;;;;0.084391
FAL20;D;ZERO;;;;0.070000
GII;A;L-0-U;;;;0.075100
GII;A;L-10-U;;;;0.085200
GII;A;L-20-D;;;;0.113800
GII;A;L-39-D;;;0.582200;0.174200
GII;D;T-0-U;;;;0.081400
GII;D;T-10-U;;;;0.088400
GII;D;T-20-D;0.020000;0.634000;;0.115900
GIIB;A;L-0-U;;;;0.072200
GIIB;A;L-10-U;;;;0.073500
GIIB;A;L-20-D;;;;0.109100
GIIB;A;L-39-D;;;0.562984;0.150900
GIIB;D;T-0-U;;;;0.073800
GIIB;D;T-10-U;;;;0.072900
GIIB;D;T-20-D;0.016200;0.583000;;0.106300
GIV;A;L-0-U;;;;0.060000
GIV;A;L-20-D;;;;0.106300
GIV;A;L-39-D;;;0.580500;0.140300
GIV;D;T-0-U;;;;0.058600
GIV;D;T-10-U;;;;0.066600
GIV;D;T-20-D;0.014600;0.579800;;0.103500
GIV;D;T-20-U;;;;0.079700
GV;A;L-0-U;;;;0.061700
GV;A;L-20-D;;;;0.097400
GV;A;L-20-U;;;;0.074900
GV;A;L-39-D;;;0.490800;0.132800
GV;D;T-0-U;;;;0.058000
GV;D;T-10-U;;;;0.060600
GV;D;T-20-D;0.011780;0.516000;;0.095300
GV;D;T-20-U;;;;0.074300
HS748A;A;D-30;;;0.458130;0.138490
HS748A;A;D-INTR;;;;0.106745
HS748A;A;INTR;;;;0.088176
HS748A;A;ZERO;;;;0.075000
HS748A;D;INTR;;;;0.088176
HS748A;D;TO;0.012271;0.542574;;0.101351
HS748A;D;ZERO;;;;0.075000
IA1125;A;D-40;;;0.967478;0.136393
IA1125;A;D-INTR;;;;0.118618
IA1125;A;INTR;;;;0.085422
IA1125;A;ZERO;;;;0.070000
IA1125;D;12;0.040745;0.963488;;0.100843
IA1125;D;INTR;;;;0.085422
IA1125;D;ZERO;;;;0.070000
L1011;A;10;;;;0.093396
L1011;A;D-33;;;0.286984;0.137671
L1011;A;D-42;;;0.256389;0.155717
L1011;A;ZERO;;;;0.062430
L1011;D;10;0.004561;0.265314;;0.093396
L1011;D;22;0.004759;0.251916;;0.105083
L1011;D;INTR;;;;0.079590
L1011;D;ZERO;;;;0.062430
L10115;A;10;;;;0.093396
L10115;A;D-33;;;0.262728;0.140162
L10115;A;D-42;;;0.256123;0.155644
L10115;A;ZERO;;;;0.062430
L10115;D;10;0.004499;0.265314;;0.093396
L10115;D;22;0.004695;0.251916;;0.105083
L10115;D;INTR;;;;0.079590
L10115;D;ZERO;;;;0.062430
L188;A;D-100;;;0.436792;0.174786
L188;A;D-78-%;;;0.456156;0.122326
L188;A;INTR;;;;0.120987
L188;A;ZERO;;;;0.082000
L188;D;39-%;0.009995;0.420533;;0.142992
L188;D;78-%;0.010265;0.404302;;0.159974
L188;D;INTR;;;;0.120987
L188;D;ZERO;;;;0.082000
LEAR25;A;10;;;;0.096670
LEAR25;A;D-40;;;1.282390;0.176632
LEAR25;A;D-INTR;;;;0.149986
LEAR25;A;ZERO;;;;0.070000
LEAR25;D;10;;;;0.096670
LEAR25;D;20;0.082866;1.273730;;0.123340
LEAR25;D;ZERO;;;;0.070000
LEAR35;A;10;;;;0.089112
LEAR35;A;D-40;;;1.087560;0.150688
LEAR35;A;D-INTR;;;;0.129456
LEAR35;A;ZERO;;;;0.070000
LEAR35;D;10;;;;0.089112
LEAR35;D;20;0.043803;1.059850;;0.108224
LEAR35;D;ZERO;;;;0.070000
MD11GE;D;0/EXT;;;;0.069200
MD11GE;D;0/RET;;;;0.055100
MD11GE;D;10;0.003812;0.264800;;0.084300
MD11GE;D;15;0.003625;0.257800;;0.089100
MD11GE;D;20;0.003509;0.252400;;0.094700
MD11GE;D;25;0.003443;0.248100;;0.101600
MD11GE;D;ZERO;;;;0.055100
MD11PW;D;0/EXT;;;;0.069100
MD11PW;D;0/RET;;;;0.055120
MD11PW;D;10;0.003829;0.265000;;0.084250
MD11PW;D;15;0.003675;0.257600;;0.088770
MD11PW;D;20;0.003545;0.252600;;0.094720
MD11PW;D;25;0.003494;0.248700;;0.101800
MD11PW;D;ZERO;;;;0.055120
MD81;D;11;0.009276;0.424700;;0.077190
MD81;D;INT1;;;;0.076430
MD81;D;INT2;;;;0.063130
MD81;D;INT3;;;;0.061560
MD81;D;INT4;;;;0.063660
MD81;D;T_15;0.009369;0.420798;;0.085700
MD81;D;T_INT;;;;0.070100
MD81;D;T_ZERO;;;;0.061000
MD81;D;ZERO;;;;0.067610
MD82;D;11;0.009248;0.423600;;0.079690
MD82;D;INT1;;;;0.076250
MD82;D;INT2;;;;0.063370
MD82;D;INT3;;;;0.061960
MD82;D;INT4;;;;0.063400
MD82;D;T_15;0.009267;0.420216;;0.086000
MD82;D;T_INT;;;;0.065000
MD82;D;T_ZERO;;;;0.061000
MD82;D;ZERO;;;;0.066430
MD83;D;11;0.009301;0.422700;;0.079800
MD83;D;INT1;;;;0.076660
MD83;D;INT2;;;;0.066400
MD83;D;INT3;;;;0.062470
MD83;D;INT4;;;;0.062360
MD83;D;T_15;0.009384;0.420307;;0.086000
MD83;D;T_INT;;;;0.066400
MD83;D;T_ZERO;;;;0.061100
MD83;D;ZERO;;;;0.065730
MD9025;A;D-28;;;0.411800;0.118100
MD9025;A;D-40;;;0.400300;0.141200
MD9025;A;U-0;;;0.474400;0.087600
MD9025;D;EXT/06;0.010708;0.458611;;0.070601
MD9025;D;EXT/11;0.009927;0.441118;;0.073655
MD9025;D;EXT/18;0.009203;0.421346;;0.083277
MD9025;D;EXT/24;0.008712;0.408301;;0.090279
MD9025;D;RET/0;;;;0.051860
MD9028;A;D-28;;;0.411800;0.118100
MD9028;A;D-40;;;0.400300;0.141200
MD9028;A;U-0;;;0.474400;0.087600
MD9028;D;EXT/06;0.010993;0.463088;;0.070248
MD9028;D;EXT/11;0.010269;0.446501;;0.072708
MD9028;D;EXT/18;0.009514;0.426673;;0.082666
MD9028;D;EXT/24;0.008991;0.413409;;0.090018
MD9028;D;RET/0;;;;0.050250
MU3001;A;1;;;;0.081880
MU3001;A;D-30;;;1.073080;0.147487
MU3001;A;D-INTR;;;;0.114684
MU3001;A;ZERO;;;;0.070000
MU3001;D;1;0.065703;1.152900;;0.081880
MU3001;D;10;0.055318;1.072900;;0.092850
MU3001;D;ZERO;;;;0.070000
PA30;A;27-A;;;1.316667;0.104586
PA30;A;ZERO-A;;;;0.078131
PA30;D;15-D;0.100146;1.166667;;0.154071
PA30;D;ZERO-D;;;;0.067504
PA42;A;30-DN;;;1.092130;0.146790
PA42;A;ZERO-A;;;;0.087856
PA42;D;ZER-DN;0.067960;1.011055;;0.080880
PA42;D;ZERO;;;;0.087856
PA42;D;ZERO-C;;;;0.139096
PA42;D;ZERO-T;;;;0.076510
SD330;A;D-15;;;0.746802;0.109263
SD330;A;D-35;;;0.702872;0.143475
SD330;A;INTR;;;;0.106596
SD330;A;ZERO;;;;0.075000
SD330;D;10;0.031762;0.727556;;0.138193
SD330;D;INTR;;;;0.106596
SD330;D;ZERO;;;;0.075000
SF340;A;5;;;;0.105831
SF340;A;D-35;;;0.756740;0.147912
SF340;A;D-INTR;;;;0.111456
SF340;A;ZERO;;;;0.075000
SF340;D;15;0.026303;0.746174;;0.136662
SF340;D;5;;;;0.105831
SF340;D;ZERO;;;;0.075000
