ACFT_ID;Thrust Rating;E;F;Ga;Gb;H;K1;K2;K3;K4
737800;MaxTakeoff;26089.1;-29.10981;0.143559;0;0;;;;
737800;MaxTkoffHiTemp;30143.2;-29.773;-0.029;0;-145.2;;;;
7378MAX;IdleApproach;1046.0;-4.6;0.0147;0;0;;;;
7378MAX;MaxClimb;21736.0;-28.6;0.3333;-3.28E-6;0;;;;
7378MAX;MaxClimbHiTemp;23323.0;-15.1;-0.09821;6.4E-6;-142.0575;;;;
7378MAX;MaxTakeoff;26375.0;-32.3;0.07827;8.81E-7;0;;;;
7378MAX;MaxTkoffHiTemp;30839.0;-27.1;-0.06346;-8.23E-6;-183.1101;;;;
737D17;General;-14773.7;-5.09534;0;0;0;17717.3;-1845.07;;
737D17;MaxClimb;13083.2;-7.13185;0.196733;-2.46E-5;0;;;;
737D17;MaxTakeoff;15519.8;-8.46009;0.233373;-2.91E-5;0;;;;
737N17;General;-14773.7;-5.09534;0;0;0;17717.3;-1845.07;;
737N17;MaxClimb;13083.2;-7.13185;0.196733;-2.46E-5;0;;;;
737N17;MaxTakeoff;15519.8;-8.46009;0.233373;-2.91E-5;0;;;;
737N9;General;-14095.4;-4.77532;0;0;0;16666.2;-1490.42;;
737N9;MaxClimb;12740.1;-7.93589;-0.026623;-4.28E-7;0;;;;
737N9;MaxTakeoff;13847.9;-8.62596;-0.028939;-4.65E-7;0;;;;
737QN;General;-14095.4;-4.77532;0;0;0;16666.2;-1490.42;;
737QN;MaxClimb;12740.1;-7.93589;-0.026623;-4.28E-7;0;;;;
737QN;MaxTakeoff;13847.9;-8.62596;-0.028939;-4.65E-7;0;;;;
74710Q;General;-141079.0;-11.7298;-0.02833;0;0;201105;-53843;;
74710Q;MaxClimb;36791.4;-43.5074;0.3004;-9.2E-6;0;;;;
74710Q;MaxTakeoff;42780.7;-50.59;0.349279;-1.07E-5;0;;;;
747200;General;-141079.0;-11.7298;-0.02833;0;0;201105;-53843;;
747200;MaxClimb;36791.4;-43.5074;0.3004;-9.2E-6;0;;;;
747200;MaxTakeoff;42780.7;-50.59;0.349279;-1.07E-5;0;;;;
74720A;General;-32370.0;-7.83;-0.02105;0;0;47590;0;;
74720A;MaxClimb;34860.0;-35;0.4962;0;0;;;;
74720A;MaxTakeoff;40870.0;-40.11;0.4435;0;0;;;;
74720B;General;-28110.0;-10.05;-0.03543;0;0;46375;0;;
74720B;MaxClimb;39594.0;-38.08;0.5262;0;0;;;;
74720B;MaxTakeoff;48866.0;-43.68;0.6641;0;0;;;;
747400;General;-49250.0;0;0;0;0;62210;0;;
747400;MaxClimb;44157.4;-42.61415;0.635772;0;0;;;;
747400;MaxClimbHiTemp;56826.2;-45.49123;-0.208561;0;-392.3;;;;
747400;MaxTakeoff;53290.5;-53.43403;0.606283;0;0;;;;
747400;MaxTkoffHiTemp;66921.4;-54.56269;-0.127799;0;-410.2;;;;
7478;IdleApproach;5920.0;-19.02;0.225;0;0;;;;
7478;MaxClimb;50523.0;-39.86628;0.842437;-1.5E-5;0;;;;
7478;MaxClimbHiTemp;56739.2;-27.46902;-0.141096;-1.5E-5;-343.13652;;;;
7478;MaxTakeoff;64247.2;-66.06621;0.481932;4.0E-6;0;;;;
7478;MaxTkoffHiTemp;80923.7;-71.31622;-0.30655;-1.0E-5;-520.46445;;;;
747SP;General;-141079.0;-11.7298;-0.02833;0;0;201105;-53843;;
747SP;MaxClimb;36791.4;-43.5074;0.3004;-9.2E-6;0;;;;
747SP;MaxTakeoff;42780.7;-50.59;0.349279;-1.07E-5;0;;;;
757300;MaxClimb;29549.2;-30.60863;0.398179;0;0;;;;
